tile_type,dst,src
HCLK_CMT,HCLK_CMT_MUX_CLK_10,HCLK_CMT_CK_IN6
HCLK_CMT,HCLK_CMT_MUX_CLK_7,HCLK_CMT_CK_IN9
HCLK_CMT,HCLK_CMT_MUX_CLK_8,HCLK_CMT_CK_IN4
HCLK_CMT_L,HCLK_CMT_CK_IN10,HCLK_CMT_CCIO0
HCLK_CMT_L,HCLK_CMT_CK_IN11,HCLK_CMT_MUX_CLK_MMCM11
HCLK_CMT_L,HCLK_CMT_CK_IN11,HCLK_CMT_MUX_CLK_PLL5
HCLK_CMT_L,HCLK_CMT_CK_IN12,HCLK_CMT_MUX_CLK_MMCM6
HCLK_CMT_L,HCLK_CMT_CK_IN12,HCLK_CMT_MUX_CLK_PLL4
HCLK_CMT_L,HCLK_CMT_CK_IN13,HCLK_CMT_CK_BUFHCLK0
HCLK_CMT_L,HCLK_CMT_CK_IN13,HCLK_CMT_MUX_CLK_PLL3
HCLK_CMT_L,HCLK_CMT_CK_IN1,HCLK_CMT_MUX_CLK_MMCM1
HCLK_CMT_L,HCLK_CMT_CK_IN2,HCLK_CMT_MUX_CLK_6
HCLK_CMT_L,HCLK_CMT_CK_IN2,HCLK_CMT_MUX_CLK_7
HCLK_CMT_L,HCLK_CMT_CK_IN2,HCLK_CMT_MUX_CLK_MMCM4
HCLK_CMT_L,HCLK_CMT_CK_IN3,HCLK_CMT_MUX_CLK_5
HCLK_CMT_L,HCLK_CMT_CK_IN5,HCLK_CMT_MUX_CLK_PLL1
HCLK_CMT_L,HCLK_CMT_CK_IN7,HCLK_CMT_MUX_CLK_9
HCLK_CMT_L,HCLK_CMT_CK_IN8,HCLK_CMT_CK_BUFHCLK1
HCLK_CMT_L,HCLK_CMT_CK_IN8,HCLK_CMT_CK_BUFHCLK6
HCLK_CMT_L,HCLK_CMT_CK_IN8,HCLK_CMT_MUX_CLK_PLL5
HCLK_CMT_L,HCLK_CMT_CK_IN9,HCLK_CMT_CK_BUFHCLK9
